id,lb,ub,ap,an,t
ACALD,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
ACALDt,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
ACKr,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
ACONTa,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
ACONTb,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
ACt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
ADK1,-1000.0,1000.0,9.136094175912153e-5,0.0003879628719986319,0.0
AKGDH,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
AKGt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
ALCD2x,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
ATPM,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
ATPS4r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
Biomass_Ecoli_core_w/GAM,0.0,1000.0,0.0,0.0,0.0
CO2t,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
CS,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
CYTBD,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
D_LACt2,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
ENO,-1000.0,1000.0,0.0014399851356373095,0.01215099715099715,0.0
ETOHt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
EX_ac(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_acald(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_akg(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_co2(e),-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_etoh(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_for(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_fru(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_fum(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_glc(e),-10.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_gln_L(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_glu_L(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_h(e),-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_h2o(e),-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_lac_D(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_mal_L(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_nh4(e),-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_o2(e),-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_pi(e),-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_pyr(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
EX_succ(e),0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
FBA,-1000.0,1000.0,0.005696812648236434,0.11551124170571056,0.0
FBP,0.0,1000.0,0.4273504273504274,0.4273504273504274,0.0
FORt2,0.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
FORti,0.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
FRD7,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
FRUpts2,0.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
FUM,-1000.0,1000.0,0.0005341880341880341,0.01215099715099715,0.0
FUMt2_2,0.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
G6PDH2r,-1000.0,1000.0,0.0013097429910039367,0.01215099715099715,0.0
GAPD,-1000.0,1000.0,0.004985754985754986,0.01215099715099715,0.0
GLCpts,-10.0,10.0,0.01215099715099715,0.01215099715099715,1.0
GLNS,0.0,1000.0,0.10633602182897958,0.10633602182897958,0.0
GLNabc,0.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
GLUDy,-1000.0,1000.0,0.000475167258875124,1.0602964355145856e-5,0.0
GLUN,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
GLUSy,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
GLUt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
GND,0.0,1000.0,0.013034188034188031,0.013034188034188031,0.0
H2Ot,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
ICDHyr,-1000.0,1000.0,1.0e-7,1.0e-7,0.0
ICL,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
LDH_D,-1000.0,1000.0,0.012321937321937322,0.00047989720185612753,0.0
MALS,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
MALt2_2,0.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
MDH,-1000.0,1000.0,8.271298593879239e-5,2.4981490853201377e-6,0.0
ME1,0.0,1000.0,0.005964249809501861,0.005964249809501861,0.0
ME2,0.0,1000.0,0.00019598333302830092,0.00019598333302830092,0.0
NADH16,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
NADTRHD,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
NH4t,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
O2t,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
PDH,0.0,1000.0,0.008151653359092556,0.008151653359092556,0.0
PFK,0.0,1000.0,0.005601755601755602,0.005601755601755602,0.0
PFL,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
PGI,-1000.0,1000.0,0.0001372863249236111,9.122370233481344e-5,0.0
PGK,-1000.0,1000.0,0.0002052102892439027,0.00011537217196161368,0.0
PGL,0.0,1000.0,0.00641025641025641,0.00641025641025641,0.0
PGM,-1000.0,1000.0,0.0003762833951513197,0.0005731602429715637,0.0
PIt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
PPC,0.0,1000.0,0.23823558306316925,0.23823558306316925,0.0
PPCK,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
PPS,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
PTAr,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
PYK,0.0,1000.0,0.0006794100491224011,0.0006794100491224011,0.0
PYRt2r,-1000.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
RPE,-1000.0,1000.0,0.00641025641025641,0.01215099715099715,0.0
RPI,-1000.0,1000.0,5.1244782349433514e-5,0.01215099715099715,0.0
SUCCt2_2,0.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
SUCCt3,0.0,1000.0,0.01215099715099715,0.01215099715099715,1.0
SUCDi,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
SUCOAS,-1000.0,1000.0,0.016332645642990473,0.013807951307951307,0.0
TALA,-1000.0,1000.0,0.00819088319088319,0.047170019996106954,0.0
THD2,0.0,1000.0,0.01215099715099715,0.01215099715099715,0.0
TKT1,-1000.0,1000.0,0.008479175145841813,0.01215099715099715,0.0
TKT2,-1000.0,1000.0,0.006967670011148272,0.01215099715099715,0.0
TPI,-1000.0,1000.0,0.00018465759206499948,4.445703626151453e-6,0.0
MantDem,0.0,0.0,0.0,0.0,0.0
